date,car_type,geo,total_trips
2017-01-12,Yellow taxis,outer_boroughs_ex_airports,7472.0
2017-01-12,Yellow taxis,total,353837.0
2017-01-13,Gett,airports,0.0
2017-01-13,Gett,manhattan,0.0
2017-01-13,Gett,manhattan_hub,0.0
2017-01-13,Gett,outer_boroughs_ex_airports,0.0
2017-01-13,Gett,total,9831.0
2017-01-13,Green taxis,airports,11.0
2017-01-13,Green taxis,manhattan,13253.0
2017-01-13,Green taxis,manhattan_hub,22.0
2017-01-13,Green taxis,outer_boroughs_ex_airports,27901.0
2017-01-13,Green taxis,total,41245.0
2017-01-13,Juno,airports,0.0
2017-01-13,Juno,manhattan,0.0
2017-01-13,Juno,manhattan_hub,0.0
2017-01-13,Juno,outer_boroughs_ex_airports,0.0
2017-01-13,Juno,total,22888.0
2017-01-13,Lyft,airports,1475.0
2017-01-13,Lyft,manhattan,17389.0
2017-01-13,Lyft,manhattan_hub,12394.0
2017-01-13,Lyft,outer_boroughs_ex_airports,21548.0
2017-01-13,Lyft,total,40420.0
2017-01-13,Non-app FHVs,airports,83.0
2017-01-13,Non-app FHVs,manhattan,280.0
2017-01-13,Non-app FHVs,manhattan_hub,164.0
2017-01-13,Non-app FHVs,outer_boroughs_ex_airports,6513.0
2017-01-13,Non-app FHVs,total,109181.0
2017-01-13,Uber,airports,11440.0
2017-01-13,Uber,manhattan,147808.0
2017-01-13,Uber,manhattan_hub,111051.0
2017-01-13,Uber,outer_boroughs_ex_airports,109644.0
2017-01-13,Uber,total,269449.0
2017-01-13,Via,airports,90.0
2017-01-13,Via,manhattan,24571.0
2017-01-13,Via,manhattan_hub,13727.0
2017-01-13,Via,outer_boroughs_ex_airports,112.0
2017-01-13,Via,total,24792.0
2017-01-13,Yellow taxis,airports,15109.0
2017-01-13,Yellow taxis,manhattan,315497.0
2017-01-13,Yellow taxis,manhattan_hub,217794.0
2017-01-13,Yellow taxis,outer_boroughs_ex_airports,8602.0
2017-01-13,Yellow taxis,total,344881.0
2017-01-14,Gett,airports,0.0
2017-01-14,Gett,manhattan,0.0
2017-01-14,Gett,manhattan_hub,0.0
2017-01-14,Gett,outer_boroughs_ex_airports,0.0
2017-01-14,Gett,total,10824.0
2017-01-14,Green taxis,airports,4.0
2017-01-14,Green taxis,manhattan,11196.0
2017-01-14,Green taxis,manhattan_hub,9.0
2017-01-14,Green taxis,outer_boroughs_ex_airports,31460.0
2017-01-14,Green taxis,total,42773.0
2017-01-14,Juno,airports,0.0
2017-01-14,Juno,manhattan,0.0
2017-01-14,Juno,manhattan_hub,0.0
2017-01-14,Juno,outer_boroughs_ex_airports,0.0
2017-01-14,Juno,total,26596.0
2017-01-14,Lyft,airports,1077.0
2017-01-14,Lyft,manhattan,21622.0
2017-01-14,Lyft,manhattan_hub,15815.0
2017-01-14,Lyft,outer_boroughs_ex_airports,26815.0
2017-01-14,Lyft,total,49536.0
2017-01-14,Non-app FHVs,airports,54.0
2017-01-14,Non-app FHVs,manhattan,127.0
2017-01-14,Non-app FHVs,manhattan_hub,78.0
2017-01-14,Non-app FHVs,outer_boroughs_ex_airports,6344.0
2017-01-14,Non-app FHVs,total,94604.0
2017-01-14,Uber,airports,7165.0
2017-01-14,Uber,manhattan,177640.0
2017-01-14,Uber,manhattan_hub,135358.0
2017-01-14,Uber,outer_boroughs_ex_airports,138130.0
2017-01-14,Uber,total,323573.0
2017-01-14,Via,airports,65.0
2017-01-14,Via,manhattan,17206.0
2017-01-14,Via,manhattan_hub,9671.0
2017-01-14,Via,outer_boroughs_ex_airports,158.0
2017-01-14,Via,total,17452.0
2017-01-14,Yellow taxis,airports,11264.0
2017-01-14,Yellow taxis,manhattan,314163.0
2017-01-14,Yellow taxis,manhattan_hub,229159.0
2017-01-14,Yellow taxis,outer_boroughs_ex_airports,9913.0
2017-01-14,Yellow taxis,total,342169.0
2017-01-15,Gett,airports,0.0
2017-01-15,Gett,manhattan,0.0
2017-01-15,Gett,manhattan_hub,0.0
2017-01-15,Gett,outer_boroughs_ex_airports,0.0
2017-01-15,Gett,total,9639.0
2017-01-15,Green taxis,airports,8.0
2017-01-15,Green taxis,manhattan,9348.0
2017-01-15,Green taxis,manhattan_hub,21.0
2017-01-15,Green taxis,outer_boroughs_ex_airports,26717.0
2017-01-15,Green taxis,total,36131.0
2017-01-15,Juno,airports,0.0
2017-01-15,Juno,manhattan,0.0
2017-01-15,Juno,manhattan_hub,0.0
2017-01-15,Juno,outer_boroughs_ex_airports,0.0
2017-01-15,Juno,total,22833.0
2017-01-15,Lyft,airports,1433.0
2017-01-15,Lyft,manhattan,17477.0
2017-01-15,Lyft,manhattan_hub,12798.0
2017-01-15,Lyft,outer_boroughs_ex_airports,22717.0
2017-01-15,Lyft,total,41641.0
2017-01-15,Non-app FHVs,airports,67.0
2017-01-15,Non-app FHVs,manhattan,70.0
2017-01-15,Non-app FHVs,manhattan_hub,42.0
2017-01-15,Non-app FHVs,outer_boroughs_ex_airports,5326.0
2017-01-15,Non-app FHVs,total,85073.0
2017-01-15,Uber,airports,9110.0
2017-01-15,Uber,manhattan,147942.0
2017-01-15,Uber,manhattan_hub,112817.0
2017-01-15,Uber,outer_boroughs_ex_airports,122135.0
2017-01-15,Uber,total,279735.0
2017-01-15,Via,airports,115.0
2017-01-15,Via,manhattan,13842.0
2017-01-15,Via,manhattan_hub,7681.0
2017-01-15,Via,outer_boroughs_ex_airports,162.0
2017-01-15,Via,total,14140.0
2017-01-15,Yellow taxis,airports,13647.0
2017-01-15,Yellow taxis,manhattan,278377.0
2017-01-15,Yellow taxis,manhattan_hub,206228.0
2017-01-15,Yellow taxis,outer_boroughs_ex_airports,9896.0
2017-01-15,Yellow taxis,total,307444.0
2017-01-16,Gett,airports,0.0
2017-01-16,Gett,manhattan,0.0
2017-01-16,Gett,manhattan_hub,0.0
2017-01-16,Gett,outer_boroughs_ex_airports,0.0
2017-01-16,Gett,total,6629.0
2017-01-16,Green taxis,airports,11.0
2017-01-16,Green taxis,manhattan,7749.0
2017-01-16,Green taxis,manhattan_hub,30.0
2017-01-16,Green taxis,outer_boroughs_ex_airports,17215.0
2017-01-16,Green taxis,total,25029.0
2017-01-16,Juno,airports,0.0
2017-01-16,Juno,manhattan,0.0
2017-01-16,Juno,manhattan_hub,0.0
2017-01-16,Juno,outer_boroughs_ex_airports,0.0
2017-01-16,Juno,total,17607.0
2017-01-16,Lyft,airports,1926.0
2017-01-16,Lyft,manhattan,13721.0
2017-01-16,Lyft,manhattan_hub,9619.0
2017-01-16,Lyft,outer_boroughs_ex_airports,17350.0
2017-01-16,Lyft,total,33007.0
2017-01-16,Non-app FHVs,airports,88.0
2017-01-16,Non-app FHVs,manhattan,111.0
2017-01-16,Non-app FHVs,manhattan_hub,71.0
2017-01-16,Non-app FHVs,outer_boroughs_ex_airports,4603.0
2017-01-16,Non-app FHVs,total,78508.0
2017-01-16,Uber,airports,13580.0
2017-01-16,Uber,manhattan,113400.0
2017-01-16,Uber,manhattan_hub,84820.0
2017-01-16,Uber,outer_boroughs_ex_airports,86069.0
2017-01-16,Uber,total,213500.0
2017-01-16,Via,airports,225.0
2017-01-16,Via,manhattan,16780.0
2017-01-16,Via,manhattan_hub,8997.0
2017-01-16,Via,outer_boroughs_ex_airports,118.0
2017-01-16,Via,total,17162.0
2017-01-16,Yellow taxis,airports,18038.0
2017-01-16,Yellow taxis,manhattan,231287.0
2017-01-16,Yellow taxis,manhattan_hub,162270.0
2017-01-16,Yellow taxis,outer_boroughs_ex_airports,6115.0
2017-01-16,Yellow taxis,total,260194.0
2017-01-17,Gett,airports,0.0
2017-01-17,Gett,manhattan,0.0
2017-01-17,Gett,manhattan_hub,0.0
2017-01-17,Gett,outer_boroughs_ex_airports,0.0
2017-01-17,Gett,total,8010.0
2017-01-17,Green taxis,airports,8.0
2017-01-17,Green taxis,manhattan,11543.0
2017-01-17,Green taxis,manhattan_hub,25.0
2017-01-17,Green taxis,outer_boroughs_ex_airports,21483.0
2017-01-17,Green taxis,total,33099.0
2017-01-17,Juno,airports,0.0
2017-01-17,Juno,manhattan,0.0
2017-01-17,Juno,manhattan_hub,0.0
2017-01-17,Juno,outer_boroughs_ex_airports,0.0
2017-01-17,Juno,total,20819.0
2017-01-17,Lyft,airports,1684.0
2017-01-17,Lyft,manhattan,18390.0
2017-01-17,Lyft,manhattan_hub,12768.0
2017-01-17,Lyft,outer_boroughs_ex_airports,25737.0
2017-01-17,Lyft,total,45826.0
2017-01-17,Non-app FHVs,airports,72.0
2017-01-17,Non-app FHVs,manhattan,285.0
2017-01-17,Non-app FHVs,manhattan_hub,166.0
2017-01-17,Non-app FHVs,outer_boroughs_ex_airports,5689.0
2017-01-17,Non-app FHVs,total,101216.0
2017-01-17,Uber,airports,11524.0
2017-01-17,Uber,manhattan,149559.0
2017-01-17,Uber,manhattan_hub,114903.0
2017-01-17,Uber,outer_boroughs_ex_airports,89654.0
2017-01-17,Uber,total,251163.0
2017-01-17,Via,airports,137.0
2017-01-17,Via,manhattan,28641.0
2017-01-17,Via,manhattan_hub,15595.0
2017-01-17,Via,outer_boroughs_ex_airports,123.0
2017-01-17,Via,total,28929.0
2017-01-17,Yellow taxis,airports,16322.0
2017-01-17,Yellow taxis,manhattan,296459.0
2017-01-17,Yellow taxis,manhattan_hub,203989.0
2017-01-17,Yellow taxis,outer_boroughs_ex_airports,6118.0
2017-01-17,Yellow taxis,total,324211.0
2017-01-18,Gett,airports,0.0
2017-01-18,Gett,manhattan,0.0
